,0,1,2
292,14.033891,-24.882318,4.2004232
293,20.645819,5.515442,-4.2168
294,4.505544,9.27012,-7.935242
295,18.458866,-8.436558,5.3422074
296,-6.8333654,25.716099,14.372214
297,-2.9654863,0.9536335,11.155528
298,-8.140141,0.5120862,-30.327847
299,-13.61527,21.128876,-18.498606
300,19.751045,-7.5740776,6.796906
301,-10.637355,-2.7831633,4.559951
302,-13.074569,-5.814551,5.1879144
303,0.22976759,5.5867553,-7.542561
304,13.868977,4.319445,-2.8818474
305,4.428945,-12.501766,21.367743
306,10.514688,-15.8284855,1.5732129
307,-24.471163,9.061335,10.577499
308,4.629439,-10.356089,6.4924746
309,-2.268112,-3.4921644,-3.5378036
310,-6.8487573,15.467573,11.758975
311,12.625928,5.7780085,-2.1440885
312,-20.195593,1.6433537,-5.597128
313,-11.2819,-23.671473,-9.256069
314,11.783247,-9.115331,-3.9829776
315,-4.7639675,-16.3015,0.28067288
316,4.466989,-9.397067,-23.638508
317,-3.6765134,-29.061499,5.7366796
318,20.197517,14.172155,2.9125085
319,-11.815886,25.081854,-5.2831593
320,-14.260868,13.357667,17.504707
321,0.29070014,-10.004303,15.203227
322,7.255206,10.296928,-17.37297
323,-17.620707,9.662013,23.34976
324,-6.3483167,-12.958521,-21.40706
325,-13.267202,10.354147,-7.012683
326,5.4915767,-5.6370416,-11.8268585
327,-6.0770097,-14.487633,-1.834858
328,-21.692982,8.347188,18.956076
329,25.465803,-18.175198,1.814269
330,14.507066,16.134052,14.410981
331,-11.883678,-4.6023455,26.234707
332,0.27238706,2.217638,-14.610615
333,21.458897,7.6511965,-13.1139145
334,-24.684402,-8.649324,-15.573046
335,-18.25111,5.8391476,23.282125
336,17.64353,-5.167231,-26.252113
337,-24.783594,6.4542336,2.8037684
338,-24.783588,6.4542418,2.803769
339,-12.952572,-4.3346095,26.218237
340,0.17023094,-4.228974,21.094717
341,-0.88308275,-24.001213,-5.0446086
342,6.2759194,-11.517274,-18.584927
343,-8.611934,-26.930609,1.1871808
344,9.5586605,3.0333726,-18.602657
345,-11.334688,-21.505728,12.930585
346,5.09984,-15.749174,1.2657831
347,16.556011,-3.861502,-20.692509
348,-9.8452,12.610394,21.649055
349,-16.757975,19.166069,15.986498
350,-8.911509,-17.509222,10.968669
351,9.652956,-22.87658,7.5622497
352,-17.293512,-23.160244,11.758229
353,17.324598,0.9699754,-2.8211026
354,-1.4621923,0.70817924,-32.88057
355,-3.6193857,-29.176538,4.8534355
356,5.754377,8.454081,-1.7440563
357,6.9170265,-11.761637,17.364368
358,-7.0654774,-12.773449,-21.806675
359,-16.756672,-5.722096,-6.755866
360,-11.113696,-8.463888,0.5478375
361,-10.845032,7.7414637,6.277607
362,5.571438,10.75234,0.9547374
363,1.0590832,18.776167,1.3068434
364,-5.2728076,-25.37097,-4.669934
365,30.22134,-1.8022643,6.020629
366,14.1698,-20.472687,-17.97471
367,-0.02569948,-9.247184,15.248844
368,4.06666,-18.036133,-21.734644
369,29.351475,-10.677814,5.4291644
370,12.865732,-12.767115,-25.246723
371,-19.880718,12.599086,6.8070993
372,-0.02569948,-9.247184,15.248844
373,-4.7314296,-3.857606,-13.019359
374,-18.441076,12.246042,-4.069358
375,10.263567,3.2353532,-5.4326735
376,0.015302178,10.736771,-20.267735
377,-11.994677,-17.078947,12.327885
378,4.8105726,24.329292,11.413418
379,4.50875,-1.9718683,11.092172
380,-1.9036328,-26.76361,-15.616468
381,-17.8318,25.138735,-1.0931133
382,-10.424385,-21.085327,-13.221214
383,-0.39983463,13.566779,12.233166
384,26.838268,17.986004,5.203783
385,15.943055,-10.998639,13.531418
386,8.385795,1.9992982,6.0418754
